"New password","Nové heslo"
"Confirm new password","Potvrdit nové heslo"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Nápověda: Vaše heslo by mělo mít alespoň 7 znaků. Pro bezpečnější a silnější heslo je vhodné používat také velká a malá písmena, číslice a symboly jako např. ! \" ? $ %s ^ &amp; )."
"Registration Form","Registrační formulář"
"Register For This Site","Registrace na tomto webu"
"A password will be e-mailed to you.","Heslo vám bude automaticky zasláno emailem."
"Password Lost and Found","Potřebujete nové heslo?"
"Lost your password?","Zapomněli jste heslo?"
"You have logged in successfully.","Byli jste úspěšně přihlášeni."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>CHYBA</strong>: Váš internetový prohlížeč buď nepodporuje cookies, nebo jsou přímo zakázány. Pro bezproblémové používání WordPressu musíte mít <a href='http://www.google.com/cookies.html'>cookies povoleny</a>."
"You are now logged out.","Odhlášení proběhlo úspěšně."
"User registration is currently not allowed.","Registrace uživatelů není v tuto chvíli povolena."
"Check your e-mail for the confirmation link.","Zkontrolujte emailovou schránku, zda už nedorazil aktivační email."
"Check your e-mail for your new password.","Zkontrolujte emailovou schránku, zda už nedorazilo nové heslo."
"Registration complete. Please check your e-mail.","Registrace byla úspěšně dokončena. Zkontrolujte prosím svou emailovou schránku."
"Your session has expired. Please log-in again.","Vaše relace přihlášení vypršela. Přihlaste se prosím znovu."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>WordPress byl úspěšně aktualizován!</strong> Přihlaste se prosím zpět do administrace, abyste mohli vyzkoušet všechny nejnovější funkce."
"This action has been disabled by the administrator.","Tato možnost byla administrátorem zakázána."
"Slow down cowboy, no need to check for new mails so often!","Uklidněte se, není potřeba kontrolovat příchozí emaily každou chvíli!"
"There doesn&#8217;t seem to be any new mail.","Nevypadá to, že by byl zadán nějaký nový email."
"Author is %s","Autor: %s"
"<strong>Author:</strong> %s","<strong>Autor:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Publikovaný název:</strong> %s"
"Oops: %s","Chyba: %s"
"Mission complete. Message <strong>%s</strong> deleted.","Hotovo. Zpráva číslo <strong>%s</strong> byla úspěšně smazána."
"Site Name:","Adresa webu:"
"Site Domain:","Subdoména:"
"sitename","zvolena-adresa-webu"
"domain","zvolena-subdomena"
"Your address will be %s.","Kompletní adresa webu bude %s."
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Zvolená adresa musí obsahovat alespoň 4 znaky a použít můžete pouze malá písmena bez diakritiky (a-z) a číslice. Adresu webu také nemůžete později měnit, takže vybírejte opravdu pečlivě!"
"Site Title:","Název webu:"
"Privacy:","Viditelnost webu:"
"Allow search engines to index this site.","Povolit vyhledávačům prohledávat a indexovat obsah na tomto webu."
"Yes","Ano"
"No","Ne"
"(Must be at least 4 characters, letters and numbers only.)","(Uživatelské jméno musí obsahovat alespoň 4 znaky a použít můžete pouze malá písmena bez diakritiky (a-z) a číslice.)"
"Email&nbsp;Address:","Emailová&nbsp;adresa:"
"We send your registration email to this address. (Double-check your email address before continuing.)","Na zadanou adresu bude automaticky zaslán aktivační email. (Ještě než budete pokračovat dále, zkontrolujte prosím správnost emailové adresy.)"
"Get <em>another</em> %s site in seconds","Registrace <em>nového</em> webu v rámci sítě %s"
"There was a problem, please correct the form below and try again.","Při zpracování formuláře se objevil nějaký problém. Opravte prosím zadané údaje a zkuste to znovu."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Vítejte! Jste přihlášeni jako %s a s pomocí následujícího formuláře můžete <strong>vytvořit nový web</strong>. Každý uživatelský účet může mít přiřazen neomezený počet webů, takže se nemusíte ničeho obávat a můžete se soustředit pouze na vytváření kvalitního obsahu."
"Sites you are already a member of:","Aktuálně použitý uživatelský účet je registrován u následujících webů:"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Pokud se už do budoucna nechystáte některý z dříve vytvořených webů používat, můžete ho jednoduše smazat a přenechat tak dobrou adresu pro nějakého jiného uživatele. Nyní ale už zpět k samotnému formuláři!"
"Create Site","Vytvořit web"
"The site %s is yours.","Web %s byl úspěšně vytvořen."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","Nově vytvořený web je dostupný na adrese <a href=\"http://%s\">http://%s</a> a prostřednictvím aktuálně použitého uživatelského účtu &#8222;%s&#8220; se můžete se stejným heslem <a href=\"%s\">přihlásit</a> do jeho administrace."
"Get your own %s account in seconds","Registrace uživatelského účtu v rámci sítě webů %s"
"Gimme a site!","Chci vytvořit web!"
"Just a username, please.","Stačí uživatelské jméno."
"Next","Pokračovat"
"%s is your new username","Registrovaný uživatelský účet: %s"
"But, before you can start using your new username, <strong>you must activate it</strong>.","Ještě než ale začnete nové uživatelské jméno používat, musíte ho nejdříve <strong>aktivovat</strong>."
"Check your inbox at <strong>%s</strong> and click the link given.","Zkontrolujte prosím obsah zvolené emailové schránky <strong>%s</strong>, kde by se měl nacházet aktivační email s dalšími instrukcemi."
"If you do not activate your username within two days, you will have to sign up again.","Pokud nedojde k aktivaci uživatelského jména během několika dní, tak se budete muset registrovat znovu."
"Signup","Registrovat"
"Congratulations! Your new site, %s, is almost ready.","Blahopřejeme! Nový web %s byl úspěšně registrován."
"But, before you can start using your site, <strong>you must activate it</strong>.","Ještě než ale začnete nový web používat, musíte ho nejdříve <strong>aktivovat</strong>."
"If you do not activate your site within two days, you will have to sign up again.","Pokud nedojde k aktivaci webu během několika dní, tak ho budete muset registrovat znovu."
"Still waiting for your email?","Stále ještě čekáte na aktivační email?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","Pokud tento email zatím nedorazil, máte k dispozici ještě následující možnosti:"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","Počkat ještě trochu déle. Doručení emailu se občas může z neznámých technických důvodů opozdit, což bohužel nemůžeme nijak ovlivnit."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","Zkontrolovat složky s názvem Spam či Nevyžádaná pošta v aktuálně používaném emailovém klientovi. Automatické aktivační emaily jsou bohužel někdy chybně vyhodnoceny jako spam a následně zadrženy."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","Opravdu byla emailová adresa zadána správně? Aktivační email byl odeslán na adresu %s a pokud byla třeba špatně vyplněna, tak už nebude email nikdy doručen."
"all","povolena registrace nových uživatelů i webů"
"none","žádný"
"blog","povolena pouze registrace nových webů"
"user","povolena pouze registrace nových uživatelů"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","Vítejte! V současné chvíli je &#8222;%s&#8220;, ale jako administrátor sítě webů můžete možnosti registrace měnit, a to na příslušné stránce <a href=\"%s\">Nastavení sítě webů</a> v administraci."
"Registration has been disabled.","Nové registrace nejsou v současné době povoleny."
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","Pokud chcete vytvořit nový web, tak se musíte nejdříve <a href=\"%s\">přihlásit</a>."
"User registration has been disabled.","Registrace nových uživatelů nejsou v současné době povoleny."
"Site registration has been disabled.","Registrace nových webů nejsou v současné době povoleny."
"Sorry, new registrations are not allowed at this time.","Nové registrace bohužel nejsou v současné době povoleny."
"You are logged in already. No need to register again!","Právě jste přihlášeni pod svým existujícím uživatelským účtem a není potřeba se registrovat znovu!"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>Zvolený web <strong>%s</strong> zatím bohužel neexistuje, ale můžete ho snadno a rychle vytvořit!</em></p>"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em>Zvolený web <strong>%s</strong> zatím bohužel neexistuje.</em></p>"
"Learn word","Naučit slovo"
"Insert Page Break","Vložit značku pro rozdělení stránky"
"Types","Zvolte typ"
"Lower alpha","Malá písmena"
"Lower greek","Malá řecká písmena"
"Lower roman","Malé římské číslice"
"Upper alpha","Velká písmena"
"Upper roman","Velké římské číslice"
"Circle","Prázdné kolečko"
