"New password","Neues Passwort"
"Confirm new password","Neues Passwort bestätigen"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Hinweis: Dein Passwort sollte mind. 7 Zeichen lang sein. Um es sicherer zu machen, nutze die Groß- und Kleinschreibung, Ziffern und Symbole wie ! \" ? $ %s ^ &amp; )."
"Registration Form","Registrierungsformular"
"Register For This Site","Für dieser Seite registrieren"
"A password will be e-mailed to you.","Ein Passwort wird dir zugesendet."
"Password Lost and Found","Passwortfundbüro"
"Lost your password?","Passwort vergessen?"
"You have logged in successfully.","Du hast dich erfolgreich angemeldet."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>Fehler:</strong> Cookies werden von deinem Browser blockiert oder nicht unterstützt. Um WordPress zu benutzen, musst du <a href='http://www.google.com/cookies.html'>Cookies erlauben</a>."
"You are now logged out.","Du hast dich erfolgreich abgemeldet."
"User registration is currently not allowed.","Zurzeit ist die Benutzer-Registrierung nicht erlaubt."
"Check your e-mail for the confirmation link.","Überprüfe dein E-Mail-Konto für den Bestätigungslink."
"Check your e-mail for your new password.","Überprüfe dein E-Mail-Konto für dein neues Passwort."
"Registration complete. Please check your e-mail.","Registrierung vollständig. Bitte schau in dein E-Mail-Postfach."
"Your session has expired. Please log-in again.","Deine Sitzung ist abgelaufen, bitte melde dich erneut an."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>Du hast dein WordPress erfolgreich aktualisiert!</strong> Melde dich erneut an und hab viel Freude an den Neuerungen. "
"This action has been disabled by the administrator.","Diese Aktion wurde vom Administrator deaktiviert."
"Slow down cowboy, no need to check for new mails so often!","Ruhe bewahren, es gibt keinen Grund so oft nach neuen Mails zu schauen."
"There doesn&#8217;t seem to be any new mail.","Da scheint keine neue E-Mail zu sein."
"Author is %s","Der Autor ist %s"
"<strong>Author:</strong> %s","<strong>Autor:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Vergebener Titel:</strong> %s"
"Mission complete. Message <strong>%s</strong> deleted.","Mission erfüllt. Nachricht <strong>%s</strong> gelöscht."
"Site Name:","Name der Seite:"
"Site Domain:","Seiten-Domain:"
"sitename","Seitenname"
"domain","Domain"
"Your address will be %s.","Deine Seiten-Adresse wird %s lauten."
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Sie muss aus mindestens vier Zeichen bestehen, wobei du bitte nur Zahlen und Buchstaben verwenden solltest. Prüfe deine Eingabe sorgfältig, da diese Angabe später nicht mehr geändert werden kann."
"Site Title:","Seiten-Titel:"
"Privacy:","Datenschutz:"
"Allow search engines to index this site.","Suchmaschinen dürfen diese Webseite indexieren."
"Yes","Ja"
"No","Nein"
"(Must be at least 4 characters, letters and numbers only.)","(Es müssen mindestens 4 Zeichen sein, bitte nur Buchstaben und Zahlen.)"
"Email&nbsp;Address:","E-Mail-Addresse:"
"We send your registration email to this address. (Double-check your email address before continuing.)","Wir verschicken deine Registrierungs-E-Mail an diese Adresse. (Überprüfe also nochmal deine E-Mail-Adresse bevor du fortfährst.)"
"Get <em>another</em> %s site in seconds","Erstelle eine <em>weitere</em> %s Webseite in Sekunden"
"There was a problem, please correct the form below and try again.","Es trat ein Fehler auf. Bitte korrigiere die Eingaben und versuche es noch einmal."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Willkommen zurück, %s. In dem du dieses Formular ausfüllst, kannst du eine <strong>weitere Webseite</strong> für dein Benutzerkonto anlegen. Es gibt hierfür keine Begrenzung, also zögere nicht."
"Sites you are already a member of:","Du bist bereits Mitglied der folgenden Seiten:"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Suche dir nun einen weiteren Webseiten-Namen und Webseiten-Titel aus."
"Create Site","Webseite erstellen"
"The site %s is yours.","Diese Webseite %s ist deine."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> ist deine neue Webseite. <a href=\"%s\">Melde dich an </a> als &#8220;%s&#8221; und verwende dein existierendes Passwort."
"Get your own %s account in seconds","Registriere dich in nur wenigen Sekunden bei %s."
"Gimme a site!","Gib mir eine Webseite!"
"Just a username, please.","Ich möche nur einen Benutzernamen, keine Seite."
"Next","Nächster Schritt"
"%s is your new username","%s ist dein neuer Benutzername"
