") is incompatible with LiqPay.",") is incompatible with LiqPay."
"Customer successfully got back from LiqPay payment interface.","Customer successfully got back from LiqPay payment interface."
"Customer switch over to LiqPay payment interface.","Customer switch over to LiqPay payment interface."
"Enabled","Enabled"
"Error during creation of invoice.","Error during creation of invoice."
"Invoice #%s created.","Invoice #%s created."
"LiqPay","LiqPay"
"LiqPay error.","LiqPay error."
"Merchant ID","Merchant ID"
"New order e-mail was sent to customer.","New order e-mail was sent to customer."
"New order status","New order status"
"Order total amount does not match LiqPay gross total amount.","Order total amount does not match LiqPay gross total amount."
"Phone","Phone"
"Security check failed!","Security check failed!"
"Selected currency (","Selected currency ("
"Signature","Signature"
"Title","Title"
"Waiting for verification from the LiqPay side.","Waiting for verification from the LiqPay side."
"Way of payment","Way of payment"
"You will be redirected to LiqPay payment interface in a few seconds.","You will be redirected to LiqPay payment interface in a few seconds."
"Visa / MasterCard credit cards payment effected through the LiqPay payment system.","Visa / MasterCard credit cards payment effected through the LiqPay payment system."
"Credit card's data input is making on the site's purchasing system. You will be redirected on the payment's page after confirmation of your order on the next step.","Credit card's data input is making on the site's purchasing system. You will be redirected on the payment's page after confirmation of your order on the next step."
