"New password","Nueva contraseña"
"Confirm new password","Confirma la nueva contraseña"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Tu contraseña debe tener al menos siete caracteres. Para que tu contraseña sea segura, usa mayúsculas, minúsculas, números y símbolos como ! \" ? $ %s ^ &amp; )."
"Registration Form","Formulario de registro"
"Register For This Site","Regístrate en este sitio"
"A password will be e-mailed to you.","Recibirás una contraseña en este correo electrónico."
"Password Lost and Found","Recupera tu contraseña perdida"
"Lost your password?","¿Has perdido tu contraseña?"
"You have logged in successfully.","Te has conectado con éxito."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>ERROR</strong>: Las Cookies están bloqueadas o no las soporta tu navegador. Debes <a href='http://www.google.com/cookies.html'>habilitar las cookies</a> para usar WordPress."
"You are now logged out.","Ahora estás desconectado."
"User registration is currently not allowed.","No se permite el registro de nuevos usuarios."
"Check your e-mail for the confirmation link.","Revisa tu correo electrónico para obtener el enlace de confirmación."
"Check your e-mail for your new password.","Revisa tu correo electrónico para obtener la contraseña nueva."
"Registration complete. Please check your e-mail.","Registro completo. Por favor, revisa tu correo electrónico."
"Your session has expired. Please log-in again.","Tu sesión ha expirado. Vuelve a acceder."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>¡Has actualizado WordPress con éxito!</strong> Por favor, accede de nuevo para disfrutar de su genialidad."
"This action has been disabled by the administrator.","Esta acción ha sido deshabilitada por el administrador."
"Slow down cowboy, no need to check for new mails so often!","¡Tranquilo, campeón! ¡No hace falta comprobar el correo tan a menudo!"
"There doesn&#8217;t seem to be any new mail.","Parece que no hay ningún correo electrónico nuevo."
"Author is %s","El autor es %s"
"<strong>Author:</strong> %s","<strong>Autor:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Título publicado:</strong> %s"
"Mission complete. Message <strong>%s</strong> deleted.","Misión cumplida. Mensaje <strong>%s</strong> borrado."
"Site Name:","Nombre del sitio:"
"Site Domain:","Dominio del sitio:"
"sitename","nombresitio"
"domain","dominio"
"Your address will be %s.","Tu dirección será %s."
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Debe tener al menos 4 caracteres, letras y números solamente. ¡No se puede cambiar, así que elige con cuidado!"
"Site Title:","Título del sitio:"
"Privacy:","Privacidad:"
"Allow search engines to index this site.","Permite que los motores de búsquedas indexen este sitio."
"Yes","Sí"
"(Must be at least 4 characters, letters and numbers only.)","(Deben tener como mínimo 4 caracteres, solo letras y números.)"
"Email&nbsp;Address:","Dirección de correo electrónico:"
"We send your registration email to this address. (Double-check your email address before continuing.)","Enviaremos los datos de registro a esta dirección de correo electrónico. Comprueba bien esta dirección antes de continuar."
"Get <em>another</em> %s site in seconds","Consigue <em>otro</em> sitio en %s en segundos"
"There was a problem, please correct the form below and try again.","Hubo un problema, revisa el formulario y prueba de nuevo."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Bienvenido de nuevo %s. Rellenando el siguiente formulario, puedes <strong>añadir otro sitio a tu cuenta</strong>. No hay límite en el número de sitios que puedas tener, por tanto, crea los que necesites, pero escribe con responsabilidad."
"Sites you are already a member of:","Eres miembro de los siguientes sitios:"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Si no vas a usar un dominio de un sitio, por favor, libéralo para que otro lo pueda usar. Ahora ¡consigue uno!"
"Create Site","Crear sitio"
"The site %s is yours.","El sitio %s es tuyo."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> es tu nuevo sitio. <a href=\"%s\">Accede</a> como &#8220;%s&#8221; usando tu contraseña."
"Get your own %s account in seconds","Consigue tu propia cuenta %s en segundos."
