"New password","Nuova password"
"Confirm new password","Confermare la nuova password"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Suggerimento: la tua password dovrebbe essere lunga almeno sette caratteri. Per renderla più robusta, utilizza lettere maiuscole e minuscole, numeri e simboli tipo ! \" ? $ %s ^ &amp; )."
"Registration Form","Modulo di registrazione"
"Register For This Site","Registrazione per questo sito"
"A password will be e-mailed to you.","Verrà spedita una password via e-mail."
"Password Lost and Found","Ufficio oggetti smarriti - Password"
"Lost your password?","È stata persa la password?"
"You have logged in successfully.","Ci si è autenticati correttamente."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>ERRORE</strong>: Sembra che il vostro browser non supporti o blocchi i cookie. Occorre <a href='http://www.google.com/cookies.html'>abilitare i cookie</a> per utilizzare WordPress."
"You are now logged out.","Si è effettuato il log out."
"User registration is currently not allowed.","La registrazione degli utenti non è al momento permessa."
"Check your e-mail for the confirmation link.","Controlla la tua email per il link di conferma."
"Check your e-mail for your new password.","Controlla la tua email per la nuova password."
"Registration complete. Please check your e-mail.","Registrazione completata. Controlla la tua email."
"Your session has expired. Please log-in again.","La sessione è scaduta. Effettuare nuovamente il login."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>WordPress è stato aggiornato!</strong> Effettuare nuovamente il login per sperimentare la meraviglia."
"This action has been disabled by the administrator.","Questa azione è stata disabilitata dall'amministratore"
"Slow down cowboy, no need to check for new mails so often!","Rallenta cowboy, non serve controllare così spesso le nuove email!"
"There doesn&#8217;t seem to be any new mail.","Pare non vi sia alcuna nuova mail."
"Author is %s","L'autore è %s"
"<strong>Author:</strong> %s","<strong>Autore:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Titolo di pubblicazione:</strong> %s"
"Mission complete. Message <strong>%s</strong> deleted.","Missione completata. Il messaggio <strong>%s</strong> è stato eliminato."
"Site Name:","Nome sito:"
"Site Domain:","Dominio sito:"
"sitename","nome sito"
"domain","dominio"
"Your address will be %s.","Il tuo indirizzo sarà %s."
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Deve essere di almeno 4 caratteri, solo lettere e numeri. Non può venir cambiato quindi sceglilo con attenzione!"
"Site Title:","Titolo sito:"
"Allow search engines to index this site.","Permetti ai motori di ricerca di indicizzare questo sito."
"Yes","Si"
"(Must be at least 4 characters, letters and numbers only.)","(Deve essere di almeno 4 caratteri, solo lettere e numeri.)"
"Email&nbsp;Address:","Indirizzo&nbsp;Email:"
"We send your registration email to this address. (Double-check your email address before continuing.)","Invieremo l'email di registrazione a questo indirizzo. (Controllare attentamente l'indirizzo email prima di proseguire.)"
"Get <em>another</em> %s site in seconds","Ottieni <em>un altro</em> %s sito in pochi secondi"
"There was a problem, please correct the form below and try again.","Si era verificato un problema, correggere il modulo sottostante e riprovavare."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Bentornato %s. Compilando il seguente modulo è possibile <strong>aggiungere un nuovo sito al proprio account</strong>. Non vi è limite al numero di blog che è possibile avere, quindi create i contenuti secondo il vostro cuore ma scrivete con responsabilità."
"Sites you are already a member of:","Blog di cui si è già membri:"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Se non si ha  intenzione di utilizzare un grande dominio per il sito, lasciarlo per un nuovo utente. Ora precedete!"
"Create Site","Creazione sito"
"The site %s is yours.","The sito %s è di vostra proprietà."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> è il nuovo sito. <a href=\"%s\">Effettuare la login</a> come &#8220;%s&#8221; utilizzando la password esistente."
"Get your own %s account in seconds","Ottieni il tuo account %s in pochi secondi"
"Gimme a site!","Dammi un nuovo sito!"
"Just a username, please.","Solo un nome utente, grazie."
"Next","Successivo"
"%s is your new username","%s è il nuovo nome utente"
"But, before you can start using your new username, <strong>you must activate it</strong>.","Ma prima di poter inziare ad utilizzare il proprio nome utente <strong>bisogna attivarlo</strong>."
"Check your inbox at <strong>%s</strong> and click the link given.","Controlla la tua email su <strong>%s</strong> e fai clic sul link fornito.  "
"If you do not activate your username within two days, you will have to sign up again.","Se non si attiva il proprio nome utente entro due giorni, occorrerà registrarsi nuovamente."
"Signup","Registrazione"
"Congratulations! Your new site, %s, is almost ready.","Congratulazioni! Il tuo nuovo blog, %s, è quasi pronto."
"But, before you can start using your site, <strong>you must activate it</strong>.","Ma, prima di poter iniziare ad utilizzare queso sito <strong>occorre attivarlo</strong>."
"If you do not activate your site within two days, you will have to sign up again.","Se non si attiva il proprio sito entro due giorni si dovrà ripetere la sottoscrizione."
"Still waiting for your email?","Si sta ancora aspettando l'email?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","Se non si è ancora ricevuta l'email, vi sono una serie di cose che è possibile fare:"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","Attendere un po'. Alcune volte la consegna delle email può venir ritardata da processi al di fuori del nostro controllo."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","Controllare la cartella Cestino o Spam del proprio programma email. A volte le email finiscono lì per errore."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","Hai inserito un indirizzo email corretto? Hai inserito %s ma se non è corretto, non riceverai la tua email."
"all","tutti"
"none","nessuno"
"user","utente"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","Salve amministratore del sito! Attualmente stai permettendo &#8220;%s&#8221; registrazioni. Per cambiare o disabilitare le registrazioni vai alla tua <a href=\"%s\">Pagina delle opzioni</a>."
"Registration has been disabled.","La registrazione è stata disabilitata."
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","Occorre aver eseguito prima il <a href=\"%s\">login</a> e dopo sarà possibile creare un nuovo blog."
"User registration has been disabled.","La registrazione utenti è disabilitata."
"Site registration has been disabled.","La registrazione dei blog è stata disabilitata."
"Sorry, new registrations are not allowed at this time.","Al momento non si accettano nuove registrazioni."
"You are logged in already. No need to register again!","Si è già fatto il login. Non serve registrarsi nuovamente!"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>Il blog che si sta cercando, <strong>%s</strong> non esiste ma è possibile crearlo ora!</em></p>"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em>Il sito che si sta cercando, <strong>%s</strong> non esiste.</em></p>"
"Learn word","Impara la parola"
"Insert Page Break","Inserisci interruzione di pagina"
"Types","Tipi"
"Lower alpha","Lettere maiuscole"
"Lower greek","Lettere greche minuscole"
"Lower roman","Numeri romani minuscoli"
"Upper alpha","Lettere maiuscole"
"Upper roman","Numeri romani maiuscoli"
"Circle","Cerchio"
"Disc","Disco"
"Square","Quadrato"
"Words:","Parole:"
"Styles","Stili"
"Font size","Dimensione carattere"
"Font family","Tipo di carattere"
"Format","Formato"
"Paragraph","Paragrafo"
"Address","Indirizzo"
"Preformatted","Preformattato"
"Heading 1","Titolo 1"
"Heading 2","Titolo 2"
"Heading 3","Titolo 3"
"Heading 4","Titolo 4"
"Heading 5","Titolo 5"
"Heading 6","Titolo 6"
"Blockquote","Citazione"
"Code","Codice"
