"New password","新規パスワード"
"Confirm new password","新しいパスワードの確認"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","ヒント: パスワードは7文字以上にしてください。より強力にするには、大文字と小文字のアルファベット、数字や ! \" ? $ %s ^ &amp; ) などの記号を組み合わせて使ってください。"
"Registration Form","登録フォーム"
"Register For This Site","このブログに登録"
"A password will be e-mailed to you.","パスワードをメールで送信します。"
"Password Lost and Found","パスワード紛失取り扱い"
"Lost your password?","パスワードをお忘れですか ?"
"You have logged in successfully.","ログインに成功しました。"
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>エラー</strong>: お使いのブラウザは Cookie をブロックしているか、Cookie に対応していません。WordPress を使うには <a href='http://www.google.co.jp/cookies.html'>Cookie を有効にする</a>必要があります。"
"You are now logged out.","ログアウトしました。"
"User registration is currently not allowed.","現在、ユーザー登録はできません"
"Check your e-mail for the confirmation link.","確認用のリンクをメールで送信しましたので、ご確認ください。"
"Check your e-mail for your new password.","新しいパスワードをメールで送信しましたので、ご確認ください。"
"Registration complete. Please check your e-mail.","登録を完了しました。メールを確認してください。"
"Your session has expired. Please log-in again.","セッションの期限が切れました。もう一度ログインしてください。"
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>WordPress のアップグレードに成功しました !</strong> 再度ログインしてアップグレードした WordPress をお試しください。"
"This action has been disabled by the administrator.","この操作は管理者によって無効化されています。"
"Slow down cowboy, no need to check for new mails so often!","おっと、もう少しごゆっくり ! そんなに何度も新しいメールをチェックしなくても大丈夫です。"
"There doesn&#8217;t seem to be any new mail.","新しいメールはありません。"
"Author is %s","作成者は %s です。"
"<strong>Author:</strong> %s","<strong>作成者:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>投稿したタイトル:</strong> %s"
"Oops: %s","エラー: %s"
"Mission complete. Message <strong>%s</strong> deleted.","操作を完了しました。メッセージ「<strong>%s</strong>」を削除しました。"
"Site Name:","サイト名:"
"Site Domain:","サイトのドメイン:"
"sitename","サイト名"
"Your address will be %s.","あなたのアドレスは %s になります。"
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","4字以上のアルファベットと数字のみが使えます。変更はできませんので慎重に選んでください !"
"Site Title:","サイトのタイトル:"
"Privacy:","プライバシー:"
"Allow search engines to index this site.","検索エンジンによるサイトのインデックスを許可する。"
"Yes","はい"
"No","いいえ"
"(Must be at least 4 characters, letters and numbers only.)","(4文字以上の半角英数字のみ)"
"Email&nbsp;Address:","メールアドレス: "
"We send your registration email to this address. (Double-check your email address before continuing.)","登録完了のメールをこのアドレスに送ります。(次に進む前にメールアドレスをもう一度確認してください)"
"Get <em>another</em> %s site in seconds","新しい %s ブログを今すぐ作成"
"There was a problem, please correct the form below and try again.","問題がおきました。下記の入力を修正して再度お試しください。"
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","お帰りなさい、%s さん。以下に入力すると、<strong>アカウントにもうひとつサイトを追加</strong>できます。サイトの数に制限はありませんので好きなだけ作成してかまいませんが、責任を持って運営してください。"
"Sites you are already a member of:","すでにメンバー登録済みのサイト: "
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","もしサイトのドメインを使用しないのなら、新しいユーザーのためにとっておいてください。ではどうぞはじめてください !"
"Create Site","サイトを作成"
"The site %s is yours.","このサイト %s があなたのサイトです。"
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> はあなたの新しいサイトです。設定したパスワードを使って、「%s」として<a href=\"%s\">ログイン</a>してください。"
"Get your own %s account in seconds","%s のアカウントをいますぐ取得"
"Gimme a site!","サイトを作成 !"
"Just a username, please.","ユーザー登録のみ。"
"Next","次ページへ"
"%s is your new username","新しいユーザー名は %s です"
"But, before you can start using your new username, <strong>you must activate it</strong>.","ただし、新しいユーザー名を使用するには、<strong>このユーザー名を有効化する必要があります</strong>。"
"Check your inbox at <strong>%s</strong> and click the link given.","<strong>%s</strong> の受信トレイを確認して、メールに記載されているリンクをクリックしてください。"
"If you do not activate your username within two days, you will have to sign up again.","2日以内にユーザー名を有効化しなかった場合、再登録が必要になります。"
"Signup","サインアップ"
"Congratulations! Your new site, %s, is almost ready.","おめでとうございます ! 新しいサイト、%s の準備がほぼ整いました。"
"But, before you can start using your site, <strong>you must activate it</strong>.","ただし、サイトを利用する前に<strong>有効化する必要があります</strong>。"
"If you do not activate your site within two days, you will have to sign up again.","2日以内にサイトを有効化しなかった場合、再登録が必要になります。"
"Still waiting for your email?","認証メールがまだ届いていませんか ?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","確認メールがまだ届いていない場合、いくつか試せることがあります。"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","もう少々お待ちください。時々私たちがコントロールできない理由でメールの配達が遅れることがあります。"
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","メールクライアントの迷惑メールやスパムメール受信箱を確認してみてください。ときどきメールが誤って処理されることがあります。"
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","正しいメールアドレスを入力しましたか ? 入力されたのは %s のようですが、間違っていた場合はメールが届きません。"
"all","すべて"
"none","なし"
"blog","ブログ"
"user","ユーザー"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","サイト管理者さん、こんにちは ! 現在&#8220;%s&#8221; の登録を許可しています。登録を変更・無効化するには<a href=\"%s\">サイト設定</a>ページを開いてください。"
"Registration has been disabled.","登録は無効化されました。"
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","新しいサイトを作成するには、まず<a href=\"%s\">ログイン</a>してください。"
"User registration has been disabled.","ユーザー登録は無効化されました。"
"Site registration has been disabled.","サイト登録は無効化されました。"
"Sorry, new registrations are not allowed at this time.","現在このサイトに新規登録することはできません。"
"You are logged in already. No need to register again!","すでにログインしています。再登録する必要はありません !"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>お探しのサイト、<strong>%s</strong> は見つかりませんでしたが、いますぐ作成できます !</em></p>"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em>お探しのサイト、<strong>%s</strong> は見つかりませんでした。</em></p>"
"Learn word","単語を学習"
"Insert Page Break","改ページを挿入"
"Types","種類"
"Lower alpha","小文字英字"
"Lower greek","小文字ギリシャ数字"
"Lower roman","小文字のローマ数字"
"Upper alpha","大文字のアルファベット"
"Upper roman","大文字のローマ数字"
"Circle","円"
"Disc","黒丸"
"Square","四角"
"Rich Text Area","リッチテキストエリア"
"Words:","単語数:"
"Styles","スタイル"
"Font size","文字サイズ"
"Font family","フォント"
"Format","フォーマット"
"Paragraph","段落"
"Address","アドレス"
"Preformatted","整形済み"
"Heading 1","見出し1"
"Heading 2","見出し2"
"Heading 3","見出し3"
"Heading 4","見出し4"
"Heading 5","見出し5"
"Heading 6","見出し6"
"Blockquote","引用"
"Code","ソースコード"
"Code sample","コードサンプル"
"Definition term","語句定義"
"Definition description","語句説明"
"Underline","下線"
"Strikethrough (Alt + Shift + D)","取り消し線 (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","左詰め (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","中央寄せ (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","右詰め (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","均等割付 (Alt + Shift + J)"
"Outdent","インデント解除"
"Indent","インデント"
"Undo (Ctrl + Z)","取り消し (Ctrl + Z)"
"Redo (Ctrl + Y)","やり直し (Ctrl + Y)"
"Cleanup messy code","コード整形"
"Edit HTML Source","HTML ソース編集"
"Subscript","下付き"
"Superscript","上付き"
"Insert horizontal ruler","水平線"
"Remove formatting","フォーマット解除"
"Select text color","文字色"
"Select background color","背景色"
"Insert custom character","特殊文字"
"Toggle guidelines/invisible elements","ガイドラインと非表示項目の表示切替"
"Insert/edit anchor","アンカーの挿入/編集"
"Cut","切り取り"
"Copy","コピー"
"Paste","貼り付け"
"Image properties","画像のプロパティ"
"New document","新規作成"
"Help","ヘルプ"
"Path","パス"
"Are you sure you want to clear all contents?","すべての内容を破棄してもいいですか ?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","ツールボタンへジャンプ - Alt+Q, エディターにジャンプ - Alt-Z, エレメントパスへジャンプ - Alt-X"
"Accessibility Help","アクセシビリティヘルプ"
"Press ALT F10 for toolbar. Press ALT 0 for help.","ツールバーを表示するには Alt + F10 を、ヘルプは Alt + 0 を押してください。"
"Toolbar","ツールバー"
"About TinyMCE","TinyMCE について"
"About","紹介"
"License","ライセンス"
"Plugins","プラグイン"
"Plugin","プラグイン"
"Author","投稿者"
"Version","バージョン"
"Loaded plugins","読込済みプラグイン"
"Anchor name","アンカー名"
"HTML Source Editor","HTML ソースエディター"
"Word wrap","折り返し"
"Select a color","色を選択"
"Picker","カラーピッカー"
"Color picker","カラーピッカー"
"Palette","パレット"
"Palette colors","パレットの色"
"Named","既定色"
"Named colors","既定色"
"Color:","カラー:"
"Name:","名前:"
"Select custom character","特殊文字"
"Use left and right arrows to navigate.","ナビゲーションに左右矢印を使用する。"
"Image URL","画像の URL"
"Image description","画像の説明"
"Image list","一覧から選ぶ"
"Border","枠線"
"Dimensions","サイズ"
"Vertical space","上下余白"
"Horizontal space","左右余白"
"Top","上"
"Bottom","下"
"Link URL","リンク URL"
"Target","リンクターゲット"
"Open link in the same window","同じウインドウで開く"
"Open link in a new window","新しいウインドウで開く"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","メールアドレスが入力されました。リンクに mailto: を付加しますか ?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","ご指定の URL は外部リンクのようです。先頭に http:// を付加しますか ?"
"Link list","一覧から選ぶ"
"General Usage","一般的な用法"
"General","一般"
"Advanced","詳細"
"File/URL","ファイル/URL"
"List","リスト"
"Constrain proportions","縦横比を保存"
"Id","ID"
"V-Space","上下余白"
"H-Space","左右余白"
"Auto play","自動再生"
"Loop","繰り返し再生"
"Show menu","メニューを表示"
"Quality","品質"
"Scale","伸縮"
"Align","配置"
"AutoHREF","自動読込"
"Cache","キャッシュ"
"Hidden","非表示"
"Controller","コントローラ表示"
"Kiosk mode","Kiosk モード"
"Play every frame","全フレーム再生"
"Target cache","ターゲットキャッシュ"
"No correction","無修正"
"Enable JavaScript","JavaScript を有効にする"
"Start time","開始フレーム"
"End time","終了フレーム"
"Choke speed","再生データレート"
"Volume","音量"
"Auto start","自動再生"
"Enabled","有効"
"Fullscreen","フルスクリーン"
"Invoke URLs","URL を開く"
"Mute","ミュート"
"Stretch to fit","自動サイズ変更"
"Windowless video","windowless モード"
"Balance","ステレオのバランス"
"Captioning id","キャプション表示要素 ID"
"Current marker","マーカー番号"
"Current position","再生位置 (秒単位)"
"Default frame","デフォルトフレーム"
"Play count","再生回数"
"Rate","再生レート"
"UI Mode","UI 表示モード"
"Flash options","Flash オプション"
"QuickTime options","QuickTime 設定"
"Windows media player options","Windows Media Player オプション"
"Real media player options","Real Media Player オプション"
"Shockwave options","Shockwave オプション"
"Auto goto URL","autogotourl"
"Image status","画像ステータス"
"Maintain aspect","縦横比保存"
"No java","Java を禁止"
"Prefetch","プリフェッチ"
"Shuffle","シャッフル"
"Console","コンソール"
"Num loops","繰り返し回数"
"Controls","コントローラ表示"
"Script callbacks","コールバックイベント"
"Stretch style","伸縮"
"Stretch H-Align","水平位置"
"Stretch V-Align","垂直位置"
"Sound","サウンド"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","ストリーム rtsp リソースを上級モードタブの QT Src 欄に入力してください。"
"Top left","左上"
"Top right","右上"
"Bottom left","左下"
"Bottom right","右下"
"Flash video options","Flash 動画オプション"
"Scale mode","伸縮モード"
"Buffer","バッファ秒数"
"Start image","初期画像 URL"
"Default volume","初期音量"
"Hidden GUI","コントローラ非表示"
"Show scale modes","伸縮切替ボタン表示"
"Smooth video","スムージング"
"JS Callback","JS コールバック"
"HTML5 Video Options","HTML5 動画オプション"
"Alternative source 1","代替ソース 1"
"Alternative source 2","代替ソース 2"
"Preload","先読み"
"Poster","ポスター"
"Source","ソース"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","全ツール表示切り替え (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","More タグ挿入 (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","改ページ挿入 (Alt + Shift + P)"
"More...","もっと読む..."
"Next page...","次のページ..."
"Add Media","メディアを追加"
"Add an Image","画像を追加"
"Add Video","動画を追加"
"Add Audio","音声を追加"
"Edit Gallery","ギャラリーを編集"
"Delete Gallery","ギャラリーを削除"
"Distraction Free Writing mode (Alt + Shift + W)","集中執筆モード (Alt + Shift + W)"
"Edit Image","画像を編集"
