"New password","Nytt passord"
"Confirm new password","Bekreft nytt passord"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Tips: Passordet bør være minst syv tegn langt. Bruk store og små bokstaver, tall og symboler som ! \" ? $ %s ^ &amp; ) for å gjøre det bedre."
"Registration Form","Registreringsskjema"
"Register For This Site","Registrer deg for dette nettstedet"
"A password will be e-mailed to you.","Et passord blir sendt til deg på e-post."
"Password Lost and Found","Hittegodskontor for passord"
"Lost your password?","Mistet passordet ditt?"
"You have logged in successfully.","Du har logget inn."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>FEIL</strong>: Informasjonskapsler er blokkert eller ikke støttet av din nettleser. Du må <a href='http://www.google.com/cookies.html'>slå på informasjonskapsler</a> for å bruke WordPress."
"You are now logged out.","Du er nå logget ut."
"User registration is currently not allowed.","Registrering av brukere er for tiden ikke tillatt."
"Check your e-mail for the confirmation link.","Bekreftelseslenken finner du i e-posten din."
"Check your e-mail for your new password.","Det nye passordet finner du i e-posten din."
"Registration complete. Please check your e-mail.","Registreringen er ferdig. Vennligst sjekk e-posten din."
"Your session has expired. Please log-in again.","Din sesjon har utløpt. Vennligst logg inn på nytt."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>Du har klart å oppgradere WordPress!</strong> Vennligst logg inn på nytt for å oppleve hvor flott det har blitt."
"This action has been disabled by the administrator.","Denne funksjonen har blitt deaktivert av administratoren."
"Slow down cowboy, no need to check for new mails so often!","Slapp av. Ingen behøver å se etter ny post så ofte!"
"There doesn&#8217;t seem to be any new mail.","Det ser ikke ut til å være noen nye e-post."
"Author is %s","Forfatter er %s"
"<strong>Author:</strong> %s","<strong>Forfatter:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Publisert tittel:</strong> %s"
"Oops: %s","Uffda: %s"
"Mission complete. Message <strong>%s</strong> deleted.","Oppdrag utført. Meldingen <strong>%s</strong> ble slettet."
"Site Name:","Nettstedsnavn:"
"Site Domain:","Nettstedsdomene:"
"sitename","nettstedsnavn"
"domain","domene"
"Your address will be %s.","Din adresse vil være %s."
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Må være minst 4 tegn, kun bokstaver og tall. Det kan ikke endres senere, så velg med omhu!"
"Site Title:","Nettstedstittel:"
"Privacy:","Fortrolighet:"
"Allow search engines to index this site.","Tillat søkemotorer å indeksere dette nettstedet."
"Yes","Ja"
"No","Nei"
"(Must be at least 4 characters, letters and numbers only.)","(Må være minst 4 tegn, kun bokstaver og tall.)"
"Email&nbsp;Address:","E-postadresse"
"We send your registration email to this address. (Double-check your email address before continuing.)","Vi sender din regisreringse-post til denne adressen. (Vennligst dobbelsjekk e-postadressen før du fortsetter.)"
"Get <em>another</em> %s site in seconds","Få <em>nok et</em> %s-nettsted på få sekunder"
"There was a problem, please correct the form below and try again.","En feil oppstod. Vennligst rett opp skjemaet nedenfor og prøv igjen."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Velkommen tilbake, %s. Ved å fylle ut skjemaet under, kan du <strong>legge til et til nettsted til din konto</strong>. Det er ikke noen grense for hvor mange nettsteder du kan lage, så lag så mange du vil, men husk at med frihet kommer også ansvar!"
"Sites you are already a member of:","Nettsteder du allerede er medlem i:"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Hvis du ikke skal bruke et flott domenenavn, la det være åpent til en annen bruker. Ellers - sett i gang!"
"Create Site","Opprett nettsted"
"The site %s is yours.","Nettstedet %s er ditt."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> er ditt nye nettsted. <a href=\"%s\">Logg inn</a> som &laquo;%s&raquo; med ditt eksisterende passord."
"Get your own %s account in seconds","Få din egen %s-konto på få sekunder"
