"New password","Nytt passord"
"Confirm new password","Stadfest det nye passordet"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Vink: Passordet ditt lyt vera minst sju teikn langt. For å gjera det sterkare, nytt store og små bokstavar, tal og symbolar som ! \" ? $ %s ^ &amp; )."
"Registration Form","Registreringsskjema"
"Register For This Site","Registrer deg som brukar"
"A password will be e-mailed to you.","Du får tilsendt eit passord på e-post."
"Password Lost and Found","Gløymt passord"
"Lost your password?","Gløymt passordet ditt?"
"You have logged in successfully.","Du er no logga inn."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>Feil</strong>: Informasjonskapslar er blokkerte eller ikkje støtta av nettlesaren din. Du må <a href='http://www.google.com/cookies.html'>slå på støtte for dei</a> for å bruka WordPress."
"You are now logged out.","Du er no logga ut."
"User registration is currently not allowed.","Registrering av brukarar er for tida ikkje mogleg."
"Check your e-mail for the confirmation link.","Sjekk e-posten for stadfestingslenkje."
"Check your e-mail for your new password.","Sjekk e-posten for det nye passordet ditt."
"Registration complete. Please check your e-mail.","Registreringa er fullførd. Sjekk e-posten din."
"Your session has expired. Please log-in again.","Økta vart tidsavbroten. Logg inn på nytt."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>Du har nett oppdatert WordPress!</strong> Logg inn på nytt for å sjå alt det nye og flotte."
"This action has been disabled by the administrator.","Administratoren har slått av denne handlinga."
"Slow down cowboy, no need to check for new mails so often!","Brems ned litt – du treng ikkje sjekka e-posten så ofte!"
"There doesn&#8217;t seem to be any new mail.","Du har ingen nye e-postar."
"Author is %s","Forfattaren er %s"
"<strong>Author:</strong> %s","<strong>Forfattar:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Publisert tittel:</strong> %s"
"Oops: %s","Uff, då: %s"
"Mission complete. Message <strong>%s</strong> deleted.","Oppdrag utført. Meldinga <strong>%s</strong> er sletta."
"Site Name:","Namn på nettstaden:"
"Site Domain:","Nettstaddomene:"
"sitename","nettstadnamn"
"domain","nettnamn"
"Your address will be %s.","Adressa di blir %s."
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Må vera minst 4 teikn, berre bokstavar og tal. Du kan ikkje endra dette, så vel med omtanke!"
"Site Title:","Tittel på nettstaden:"
"Privacy:","Privatliv:"
"Allow search engines to index this site.","Gje søkjemotorar løyve til å indeksera denne bloggen."
"Yes","Ja"
"No","Nei"
"(Must be at least 4 characters, letters and numbers only.)","(Må vera minst 4 teikn, berre bokstavar og tal.)"
"Email&nbsp;Address:","Epostadresse:"
"We send your registration email to this address. (Double-check your email address before continuing.)","Me sender registreringseposten til denne adressa. (Dobbeltsjekk at adressa stemmer før du held fram.)"
"Get <em>another</em> %s site in seconds","Få deg <em>ein %s-netstad til</em> på nokre sekund"
"There was a problem, please correct the form below and try again.","Noko gjekk gale, rett opp i skjemaet under og prøv ein gong til."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Velkomen att, %s. Ved å fylla ut skjemaet under, kan du få <strong>ein nettstad til på brukarkontoen din</strong>. Det er ingen avgrensingar i kor mange nettstader du kan ha, så berre lag så mange du vil, men skriv med ansvar!"
"Sites you are already a member of:","Nettstader du er medlem av:"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Viss du ikkje vil bruka eit flott nettstadnamn, kan du spara det til nye brukarar. Så, set i gang!"
"Create Site","Lag nettstad"
"The site %s is yours.","%s-netstaden er din."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> er den nye nettstaden din. <a href=\"%s\">Logg inn</a> som &#8220;%s&#8221; med passordet ditt."
"Get your own %s account in seconds","Få din eigen %s-konto på nokre sekund"
"Gimme a site!","Jepp! Gje meg ein nettstad!"
"Just a username, please.","Berre brukarnamn, er du snill."
"Next","Neste"
"%s is your new username","%s er det nye brukarnamnet ditt"
"But, before you can start using your new username, <strong>you must activate it</strong>.","Før du kan byrja å bruka det nye brukarnamnet ditt, <strong>må du stadfesta det</strong>."
"Check your inbox at <strong>%s</strong> and click the link given.","Sjekk innboksen din på <strong>%s</strong>, og klikk på lenkja i eposten."
"If you do not activate your username within two days, you will have to sign up again.","Viss du ikkje stadfestar brukarnamnet ditt innan to dagar, må du registrera deg på nytt."
"Signup","Registrer"
"Congratulations! Your new site, %s, is almost ready.","Til lukke! Den nye nettstaden din, %s, er nesten klar."
