"New password","Nova senha"
"Confirm new password","Confirme a nova senha"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Dica: A sua senha deverá ter pelo menos sete caracteres. Para a tornar mais robusta, use maiúsculas e mínusculas, números e símbolos como ! \" ? $ %s ^ &amp; )."
"Registration Form","Formulário de Registo"
"Register For This Site","Criar Registo Neste Site"
"A password will be e-mailed to you.","Irá ser-lhe enviada uma senha por correio electrónico."
"Password Lost and Found","Senha perdida e encontrada"
"Lost your password?","Esqueceu-se da senha?"
"You have logged in successfully.","Sessão iniciada com êxito."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>ERRO</strong>: Os cookies estão bloqueados ou não são suportados pelo seu browser. Deve <a href='http://www.google.com/cookies.html'>permitir cookies</a> para usar o WordPress."
"You are now logged out.","A sua sessão terminou"
"User registration is currently not allowed.","De momento não é permitido o registo de novos utilizadores."
"Check your e-mail for the confirmation link.","Consulte a mensagem com o link de confirmação na sua caixa de correio."
"Check your e-mail for your new password.","Consulte a mensagem com a nova senha na sua caixa de correio."
"Registration complete. Please check your e-mail.","Registo concluído. Por favor consulte a sua caixa de correio."
"Your session has expired. Please log-in again.","A sua sessão expirou, Por favor volte a iniciá-la."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>O seu WordPress foi actualizado com sucesso!</strong> Volte a iniciar a sessão para descobrir as maravilhas."
"This action has been disabled by the administrator.","Esta acção foi desactivada pelo administrador"
"Slow down cowboy, no need to check for new mails so often!","Calma campião, não é preciso verificar novos mails tantas vezes!"
"There doesn&#8217;t seem to be any new mail.","Não parece existir nenhuma mensagem nova."
"Author is %s","O autor é %s"
"<strong>Author:</strong> %s","<strong>Autor:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Título publicado:</strong> %s"
"Oops: %s","Ups: %s"
"Mission complete. Message <strong>%s</strong> deleted.","Missão cumprida. A mensagem <strong>%s</strong> foi eliminada."
"Site Name:","Nome do site:"
"Site Domain:","Domínio do site:"
"sitename","nome do site"
"domain","domínio"
"Your address will be %s.","Seu endereço será %s."
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Deve ter pelo menos 4 caracteres, apenas letras e números. Não pode ser alterado, escolha com cuidado!"
"Site Title:","Título do site:"
"Privacy:","Privacidade:"
"Allow search engines to index this site.","Permitir que motores de busca indexem este site."
"Yes","Sim"
"No","Não"
"(Must be at least 4 characters, letters and numbers only.)","(Precisa de ter pelo menos 4 caracteres, letras e números apenas.)"
"Email&nbsp;Address:","Endereço&nbsp;de&nbsp;Email: "
"We send your registration email to this address. (Double-check your email address before continuing.)","Enviámos seu email de registo para este endereço. (Confira o seu endereço de email antes de continuar.)"
"Get <em>another</em> %s site in seconds","Crie <em>outro</em> site %s em segundos"
"There was a problem, please correct the form below and try again.","Houve um problema, por favor corrija o formulário abaixo e volte a tentar."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Bem-vindo(a) de volta, %s. Preenchendo formulário abaixo pode <strong>criar um novo site associado à sua conta </strong>. Não existe limite para o número de sites que pode ter, por isso crie à vontade, mas com sentido de responsabilidade!"
"Sites you are already a member of:","Sites dos quais já é membro:"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Se não vai usar um nome fantástico para o seu site, deixe-o livre para um novo utilizador. Agora, vamos a isto!"
"Create Site","Criar site"
"The site %s is yours.","O site %s é seu."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> é o seu novo site. <a href=\"%s\">Inicie a sessão</a> como &#8220;%s&#8221; usando a sua senha actual."
"Get your own %s account in seconds","Crie a sua própria conta %s em segundos"
"Gimme a site!","Quero um site!"
"Just a username, please.","Só um nome de utilizador, por favor."
"Next","Avançar"
"%s is your new username","%s é o seu novo nome de utilizador"
"But, before you can start using your new username, <strong>you must activate it</strong>.","Mas antes de poder começar a usar o novo nome de utilizador, <strong>deverá activá-lo</strong>."
"Check your inbox at <strong>%s</strong> and click the link given.","Verifique a sua Caixa de Entrada em <strong>%s</strong> e clique no link dado."
"If you do not activate your username within two days, you will have to sign up again.","Se não activar o seu nome de utilizador no prazo de dois dias, terá que se inscrever novamente."
"Signup","Registo"
"Congratulations! Your new site, %s, is almost ready.","Parabéns! O seu novo site, %s, está quase pronto."
"But, before you can start using your site, <strong>you must activate it</strong>.","Mas, antes que possa começar a utilizar o site, <strong>deverá activá-lo</strong>."
"If you do not activate your site within two days, you will have to sign up again.","Se não activar o seu site dentro de dois dias terá que voltar a inscrever-se."
"Still waiting for your email?","Ainda à espera do seu email?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","Se ainda não recebeu o email, há uma série de coisas que pode fazer:"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","Espere mais um pouco. Por vezes o envio de email pode atrasar-se devido a processos que estão fora do nosso controlo."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","Verifique a pasta de lixo ou spam do seu cliente de email. Por vezes os emails acabam lá por erro."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","Introduziu o seu email correctamente? Introduziu %s, se estiver incorrecto, não irá receber o seu email."
"all","todos"
"none","nenhum"
"user","utilizador"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","Boas-Vindas Administrador! Está actualmente a permitir &#8220;%s&#8221; registos. Para mudar ou desligar os registos visite a sua <a href=\"%s\">página de Opções</a>."
"Registration has been disabled.","Registo desactivado."
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","Deve <a href=\"%s\">iniciar a sessão</a> primeiro e só depois poderá criar um novo site."
"User registration has been disabled.","O registo de utilizadores foi desactivado."
