"Activation Key Required","Требуется ключ активации"
"Activation Key:","Ключ активации:"
"Activate","Активировать"
"Your account is now active!","Ваша учётная запись активирована!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Ваша учётная запись активирована. Теперь можно <a href=\"%s\">войти</a> на сайт, используя выбранное имя пользователя (%s). Пожалуйста, проверьте почтовый ящик %s, там будут пароль и инструкции для входа. Если вы не получили письмо, проверьте корзину или папку со спамом. Если в течение часа вы так и не получите письмо, вы можете <a href=\"%s\">сбросить ваш пароль</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Ваш сайт <a href=\"%s\">%s</a> активирован. Теперь можно войти на сайт используя выбранное имя пользователя (%s). Пожалуйста, проверьте почтовый ящик %s, там будут пароль и инструкции для входа. Если вы не получили письмо, проверьте корзину или папку со спамом. Если в течение часа вы так и не получите письмо, вы можете <a href=\"%s\">сбросить ваш пароль</a>."
"An error occurred during the activation","При активации произошла ошибка"
"Username:","Имя пользователя:"
"Password:","Пароль:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Ваша учётная запись активирована. Можно <a href=\"%s\">перейти на ваш сайт</a> или <a href=\"%s\">авторизоваться</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Ваша учётная запись активирована. Можно <a href=\"%s\">войти</a> или вернуться на <a href=\"%s\">главную страницу</a>."
"Sorry, comments are closed for this item.","Извините, обсуждение этой записи закрыто."
"Sorry, you must be logged in to post a comment.","Извините, для отправки комментария вы должны авторизоваться."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>ОШИБКА</strong>: пожалуйста, заполните необходимые поля (имя, e-mail)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>ОШИБКА</strong>: пожалуйста, введите корректный адрес e-mail."
"<strong>ERROR</strong>: please type a comment.","<strong>ОШИБКА</strong>: пожалуйста, введите комментарий."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s требует WordPress версии 3.0 или выше."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Пожалуйста, <a href=\"%s\">обновите WordPress</a> до текущей версии, либо <a href=\"%s\">вернитесь к использованию Akismet версии 2.4</a>."
"Comment History","История комментария"
"Settings","Параметры"
"Cheatin&#8217; uh?","Хакер, что ли?"
"Your key has been cleared.","Ключ был удалён."
"Your key has been verified. Happy blogging!","Ваш ключ подтверждён. Успехов!"
"The key you entered is invalid. Please double-check it.","Вы ввели неверный ключ. Пожалуйста, проверьте его."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","Не удалось проверить ключ, поскольку отсутствует соединение с сервером akismet.com. Проверьте настройки сервера."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Возникла проблема установки соединения с сервером Akismet. Проверьте настройки сервера."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Пожалуйста, введите ключ API. (<a href=\"%s\" style=\"color:#fff\">Получить ключ</a>)"
"This key is valid.","Ваш ключ верен."
"This key is invalid.","Ваш ключ неверен."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","Ключ, который вы ввели, правильный, но мы не можем установить соединение с akismet.com. Проверьте настройки сервера."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","Адрес WordPress (%s) указан неверно. Пожалуйста, исправьте его <a href=\"%s\">в настройках</a>."
"Options saved.","Настройки сохранены."
"Akismet Configuration","Настройки Akismet"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Регистрация прошла успешно!</strong> Вам отправлено письмо с API-ключом Akismet. Пожалуйста, введите его ниже."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","Для многих пользователей <a href=\"%s\">Akismet</a> значительно уменьшает количество спама в комментариях и обратных ссылках. Если вдруг спам просочился, просто отметьте его как &laquo;спам&raquo; на экране проверки, и Akismet будет учиться на своих ошибках. Если у вас ещё нет API-ключа, вы можете получить его на <a href=\"%s\">Akismet.com</a>."
"Akismet API Key","API-ключ Akismet"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Что это такое?</a>"
"Why might my key be invalid?","Почему мой ключ может быть неверным?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Это могло произойти по двум причинам. Вы могли неправильно скопировать ключ, либо ваш сайт не может достучаться до серверов Akismet, что часто случается, если ваш хостер использует брандмауэр или что-то в этом роде."
"Auto-delete spam submitted on posts more than a month old.","Автоматически удалять спам-комментарии к записям старше месяца."
"Show the number of comments you've approved beside each comment author.","Отображать количество одобренных комментариев рядом с каждым автором."
"Update options &raquo;","Обновить настройки &raquo;"
"Server Connectivity","Подключение к серверу"
"Network functions are disabled.","Сетевые функции отключены."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Администратор вашего web-хостинга или сервера отключил PHP-функцию <code>fsockopen</code> или <code>gethostbynamel</code>. <strong>Akismet не может корректно работать до исправления этой проблемы.</strong> Пожалуйста, свяжитесь с администратором хостинг-провайдера или файрвола и передайте ему <a href=\"%s\" target=\"_blank\">эту информацию о системных требованиях Akismet</a>."
"Unable to reach some Akismet servers.","Не удалось найти некоторые сервера Akismet."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Проблема с сетью или брандмауэр блокирует некоторые соединения с вашего сервера к Akismet.com. Akismet работает, но во время перегрузок в сети могут возникать проблемы. Пожалуйста, свяжитесь с администратором вашего хостинг-провайдера или файрвола и передайте ему <a href=\"%s\" target=\"_blank\">эту информацию про Akismet и брандмауэры</a>."
"Unable to reach any Akismet servers.","Не удалось найти ни один сервер Akismet."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Проблема с сетью или брандмауэр блокирует все соединения с вашего сервера к Akismet.com. <strong>Akismet не будет корректно работать до исправления этой проблемы.</strong> Пожалуйста, свяжитесь с администратором вашего хостинг-провайдера или брандмауэра и передайте ему <a href=\"%s\" target=\"_blank\">эту информацию про Akismet и брандмауэры</a>."
"All Akismet servers are available.","Все сервера Akismet доступны."
"Akismet is working correctly.  All servers are accessible.","Akismet работает правильно. Все сервера доступны."
"Unable to find Akismet servers.","Не удалось найти сервера Akismet."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Проблема DNS или брандмауэр полностью блокирует доступ с вашего сервера к Akismet.com. <strong>Akismet не будет корректно работать до исправления этой проблемы.</strong> Пожалуйста, свяжитесь с администратором хостинг-провайдера или брандмауэра и передайте ему <a href=\"%s\" target=\"_blank\">эту информацию про Akismet и брандмауэры</a>."
"Akismet server","Сервер Akismet"
"Network Status","Состояние"
"Accessible","Доступен"
"Re-trying","Повторная проверка"
"Last checked %s ago.","Последняя проверка: %s назад. "
"Check network status &raquo;","Проверьте состояние сети &raquo;"
