"Activation Key Required","要求激活密钥"
"Activation Key:","激活密钥："
"Activate","启用"
"Your account is now active!","您的帐户现已激活！"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","您的帐户已激活。请使用您选择的用户名（%s）和 %s 邮箱中收到的密码来<a href=\"%s\">登录</a>您的站点。如果您找不到我们发送的邮件，请检查“垃圾邮件”文件夹。如果您一小时之后仍不能收到邮件，请考虑<a href=\"%s\">重置您的密码</a>。"
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","您的站点（<a href=\"%s\">%s</a>）已激活。请使用您选择的用户名（%s）和 %s 邮箱中收到的密码来登录您的站点。如果您找不到我们发送的邮件，请检查“垃圾邮件”文件夹。如果您一小时之后仍不能收到邮件，请考虑<a href=\"%s\">重置您的密码</a>。"
"An error occurred during the activation","激活过程中发生了错误"
"Username:","用户名："
"Password:","密码："
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","您的帐户已激活。请<a href=\"%s\">浏览您的站点</a>或<a href=\"%s\">登录</a>。"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","您的帐户已激活。您可<a href=\"%s\">登录</a>或<a href=\"%s\">回首页</a>。"
"Sorry, comments are closed for this item.","抱歉，该项目的评论已关闭。"
"Sorry, you must be logged in to post a comment.","抱歉，发表评论您须登录。"
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>错误</strong>：请填写必填项目（姓名和电子邮件地址）。"
"<strong>ERROR</strong>: please enter a valid email address.","<strong>错误</strong>：请输入有效的电子邮件地址。"
"<strong>ERROR</strong>: please type a comment.","<strong>错误</strong>：请输入评论内容。"
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s 需要 WordPress 3.0 或更高版本。"
